name,pos,min,gm,g,a,cy,sh,sot,sotp,gps,fl,fld,crs,intc,tkw
Nicolás Acevedo,MFDF,1659,19,0,0,6,24,7,29.2,0.00,42,26,11,29,35
Luciano Acosta,MF,1126,17,3,4,5,25,9,36.0,0.12,17,19,22,7,9
Adson,MF,531,10,0,0,0,17,5,29.4,0.00,4,8,10,7,8
Braian Aguirre,DFMF,508,14,1,1,1,12,4,33.3,0.08,9,2,37,6,10
Yuri Alberto,FW,1417,17,3,2,2,36,17,47.2,0.08,23,12,4,1,3
José Aldo,MF,1206,17,0,1,7,14,5,35.7,0.00,25,11,8,16,15
Alerrandro,FW,918,20,3,3,1,28,10,35.7,0.11,18,21,3,4,4
Alesson,MFFW,1216,18,0,4,2,28,14,50.0,0.00,17,25,50,2,18
Caio Alexandre,MF,502,11,0,0,1,3,0,0.0,0.00,12,13,10,5,7
Matheus Alexandre,DF,217,10,0,0,1,1,0,0.0,0.00,4,0,5,8,4
Alexsander,MF,91,5,0,0,1,2,0,0.0,0.00,2,4,2,1,2
Alisson,MF,256,8,0,1,3,1,1,100.0,0.00,7,5,1,1,3
Allan,MF,463,10,0,0,3,2,0,0.0,0.00,12,5,1,9,5
Allex,MFDF,315,8,0,0,1,3,1,33.3,0.00,3,8,23,2,4
João Almeida,DF,4,1,0,0,0,0,0,,,0,0,0,0,0
Kayky Almeida,DF,486,7,0,0,1,5,2,40.0,0.00,5,1,9,11,5
Júnior Alonso,DF,900,10,0,0,2,5,1,20.0,0.00,9,5,0,10,9
David Alves França,MF,1,1,0,0,0,0,0,,,0,0,0,0,0
Francis Amuzu,MFFW,1162,18,1,3,0,30,8,26.7,0.03,12,24,26,2,5
João Ananias,DF,246,4,0,0,1,1,0,0.0,0.00,5,3,0,2,9
Anderson,GK,540,6,0,0,0,1,0,0.0,0.00,0,1,0,0,0
Felipe Anderson,MFFW,404,14,2,1,1,11,3,27.3,0.18,8,5,12,5,9
Léo Andrade,DF,295,4,0,0,1,0,0,,,4,1,3,5,6
André,MF,994,17,3,2,1,15,4,26.7,0.20,18,16,0,11,15
Andrey,MF,23,1,0,0,0,1,1,100.0,0.00,0,1,2,0,0
Fabrizio Angileri,DF,408,8,1,0,3,2,1,50.0,0.50,4,5,18,2,6
Anthoni,GK,810,9,0,0,0,0,0,,,0,1,0,0,0
Marcos Antônio,MF,1068,14,0,2,1,13,1,7.7,0.00,13,13,9,3,12
David Antunes,MF,168,7,0,0,0,4,0,0.0,0.00,3,2,2,0,3
Guilherme Arana,DF,824,14,1,1,2,14,5,35.7,0.07,9,5,30,4,8
Willian Arão,MF,856,15,0,0,1,1,0,0.0,0.00,8,5,1,8,15
Luiz Araújo,MF,364,11,1,1,2,9,3,33.3,0.11,6,5,15,1,12
Michel Araujo,MF,269,13,0,0,2,5,1,20.0,0.00,9,5,3,1,7
Robert Arboleda,DF,497,8,0,0,0,2,1,50.0,0.00,5,1,0,5,17
Lucas Arcanjo,GK,1530,17,0,0,1,0,0,,,1,0,0,0,0
Benjamin Arhin,MF,1,1,0,0,0,0,0,,,1,0,0,0,0
Jhon Arias,MF,1251,16,4,2,4,33,12,36.4,0.12,19,21,24,11,21
Giorgian de Arrascaeta,MF,885,13,3,1,1,30,10,33.3,0.07,5,15,51,0,9
Keny Arroyo,MF,978,17,2,2,6,34,12,35.3,0.06,16,21,40,8,6
Arthur,DF,814,14,0,0,0,8,1,12.5,0.00,15,8,27,10,13
Artur,MF,1035,12,2,1,1,24,11,45.8,0.08,5,18,94,4,8
Giovanni Augusto,MFFW,605,13,0,1,1,5,2,40.0,0.00,8,16,25,4,5
Ryan Augusto,DF,234,5,0,0,0,5,1,20.0,0.00,3,4,24,0,4
Matheus Aurelio,GK,270,3,0,0,1,0,0,,,0,0,0,0,0
Avellar,DF,6,1,0,0,0,0,0,,,0,0,1,1,0
Matheus Bahia,DFMF,882,13,0,1,2,6,2,33.3,0.00,14,15,28,10,13
Fabián Balbuena,DF,585,7,0,0,0,1,0,0.0,0.00,2,1,0,11,4
Gabriel Baralhas,MF,1532,18,2,3,4,22,5,22.7,0.09,30,22,11,31,20
Gabriel Barbosa,FW,893,13,7,2,5,30,7,23.3,0.20,6,8,6,2,2
Lucas Barbosa,MFFW,1589,18,4,2,5,48,17,35.4,0.08,36,34,40,13,16
Alexander Barboza,DF,154,2,0,0,1,0,0,53.8,0.08,5,0,0,0,0
